horizon,agent,examples,accuracy
100,vanilla,100,0.0
100,window,100,0.14
100,rag,100,0.67
100,pure_liquid,100,0.11
100,lexical_only,100,0.74
100,lalm,100,0.82
500,vanilla,75,0.0
500,window,75,0.0
500,rag,75,0.68
500,pure_liquid,75,0.10666666666666667
500,lexical_only,75,0.68
500,lalm,75,0.7333333333333333
1000,vanilla,50,0.0
1000,window,50,0.0
1000,rag,50,0.6
1000,pure_liquid,50,0.02
1000,lexical_only,50,0.72
1000,lalm,50,0.72
5000,vanilla,50,0.0
5000,window,50,0.0
5000,rag,50,0.54
5000,pure_liquid,50,0.0
5000,lexical_only,50,0.64
5000,lalm,50,0.76
