horizon,agent,examples,accuracy
100,vanilla,100,0.0
100,window,100,0.22
100,rag,100,0.65
100,pure_liquid,100,0.12
100,lexical_only,100,0.72
100,lalm,100,0.8
500,vanilla,75,0.0
500,window,75,0.0
500,rag,75,0.5733333333333334
500,pure_liquid,75,0.09333333333333334
500,lexical_only,75,0.6266666666666667
500,lalm,75,0.72
1000,vanilla,50,0.0
1000,window,50,0.0
1000,rag,50,0.52
1000,pure_liquid,50,0.02
1000,lexical_only,50,0.64
1000,lalm,50,0.74
5000,vanilla,50,0.0
5000,window,50,0.0
5000,rag,50,0.64
5000,pure_liquid,50,0.0
5000,lexical_only,50,0.68
5000,lalm,50,0.8
