agent,question_type,accuracy
lexical_only,boolean,0.0
lexical_only,contradictory_update,0.8
lexical_only,correction,0.6
lexical_only,goal,1.0
lexical_only,multi_fact,0.0
lexical_only,paraphrase,0.8
lexical_only,repeated_fact,1.0
lexical_only,response_style,0.6
lexical_only,stable_fact,1.0
lexical_only,temporal,0.8
lalm,boolean,0.0
lalm,contradictory_update,1.0
lalm,correction,0.8
lalm,goal,1.0
lalm,multi_fact,0.0
lalm,paraphrase,1.0
lalm,repeated_fact,1.0
lalm,response_style,0.6
lalm,stable_fact,1.0
lalm,temporal,1.0
lalm_zero_prefix,boolean,0.0
lalm_zero_prefix,contradictory_update,0.8
lalm_zero_prefix,correction,1.0
lalm_zero_prefix,goal,1.0
lalm_zero_prefix,multi_fact,0.0
lalm_zero_prefix,paraphrase,0.8
lalm_zero_prefix,repeated_fact,1.0
lalm_zero_prefix,response_style,0.6
lalm_zero_prefix,stable_fact,0.8
lalm_zero_prefix,temporal,0.4
lalm_random_prefix,boolean,0.0
lalm_random_prefix,contradictory_update,0.8
lalm_random_prefix,correction,0.6
lalm_random_prefix,goal,1.0
lalm_random_prefix,multi_fact,0.0
lalm_random_prefix,paraphrase,1.0
lalm_random_prefix,repeated_fact,1.0
lalm_random_prefix,response_style,0.4
lalm_random_prefix,stable_fact,1.0
lalm_random_prefix,temporal,0.8
lalm_permuted_prefix,boolean,0.0
lalm_permuted_prefix,contradictory_update,0.6
lalm_permuted_prefix,correction,0.6
lalm_permuted_prefix,goal,1.0
lalm_permuted_prefix,multi_fact,0.0
lalm_permuted_prefix,paraphrase,1.0
lalm_permuted_prefix,repeated_fact,1.0
lalm_permuted_prefix,response_style,0.6
lalm_permuted_prefix,stable_fact,1.0
lalm_permuted_prefix,temporal,0.8
