agent,question_type,accuracy
vanilla,boolean,0.0
vanilla,contradictory_update,0.0
vanilla,correction,0.0
vanilla,goal,0.0
vanilla,multi_fact,0.0
vanilla,paraphrase,0.0
vanilla,repeated_fact,0.0
vanilla,response_style,0.0
vanilla,stable_fact,0.0
vanilla,temporal,0.0
window,boolean,0.0
window,contradictory_update,0.14285714285714285
window,correction,0.21428571428571427
window,goal,0.0
window,multi_fact,0.0
window,paraphrase,0.0
window,repeated_fact,0.25
window,response_style,0.07407407407407407
window,stable_fact,0.0
window,temporal,0.0
rag,boolean,0.0
rag,contradictory_update,0.5714285714285714
rag,correction,0.5
rag,goal,1.0
rag,multi_fact,0.0
rag,paraphrase,0.7407407407407407
rag,repeated_fact,1.0
rag,response_style,0.7407407407407407
rag,stable_fact,1.0
rag,temporal,0.8518518518518519
pure_liquid,boolean,0.14285714285714285
pure_liquid,contradictory_update,0.0
pure_liquid,correction,0.0
pure_liquid,goal,0.0
pure_liquid,multi_fact,0.0
pure_liquid,paraphrase,0.0
pure_liquid,repeated_fact,0.0
pure_liquid,response_style,0.6666666666666666
pure_liquid,stable_fact,0.0
pure_liquid,temporal,0.0
lexical_only,boolean,0.0
lexical_only,contradictory_update,0.6428571428571429
lexical_only,correction,0.6071428571428571
lexical_only,goal,1.0
lexical_only,multi_fact,0.0
lexical_only,paraphrase,0.8888888888888888
lexical_only,repeated_fact,1.0
lexical_only,response_style,0.8148148148148148
lexical_only,stable_fact,1.0
lexical_only,temporal,0.9629629629629629
lalm,boolean,0.25
lalm,contradictory_update,0.8571428571428571
lalm,correction,0.8928571428571429
lalm,goal,1.0
lalm,multi_fact,0.0
lalm,paraphrase,1.0
lalm,repeated_fact,1.0
lalm,response_style,0.8148148148148148
lalm,stable_fact,1.0
lalm,temporal,0.9629629629629629
