example_id,agent,update_ms,read_ms,generation_ms,end_to_end_ms,model_loading_policy
syn-64d7e0174f62e547,lexical_only,367.4635000006674,33.132000000478,498.0679999989661,898.6635000001115,one shared preloaded model
syn-3893f5619d90e0bb,lexical_only,280.3236999989167,8.286399999633431,348.10250000009546,636.7125999986456,one shared preloaded model
syn-f3716c206a95faac,lexical_only,275.21080000042275,4.9719999988155905,352.5190999989718,632.7018999982101,one shared preloaded model
syn-333a0eb60e11d2c7,lexical_only,258.3926999996038,5.597200000920566,366.69370000163326,630.6836000021576,one shared preloaded model
syn-ad39c1e6a90dc34a,lexical_only,277.635200000077,5.752500001108274,257.90240000060294,541.2901000017882,one shared preloaded model
syn-1ca7c3ca32921822,lexical_only,261.2497000009171,4.4797000009566545,365.6367000003229,631.3661000021966,one shared preloaded model
syn-17eb2388779556ee,lexical_only,264.8470999993151,5.989100000078906,454.62659999975585,725.4627999991499,one shared preloaded model
syn-c9c2612042f12207,lexical_only,268.41240000067046,9.061100001417799,392.6799000000756,670.1534000021638,one shared preloaded model
syn-3d0ac357ac736d24,lexical_only,270.651299999372,8.933699999033706,607.193499999994,886.7784999983996,one shared preloaded model
syn-3742489ab8f15470,lexical_only,257.11560000127065,5.477499998960411,284.0986999999586,546.6918000001897,one shared preloaded model
syn-10523c271c441f97,lexical_only,280.0597999994352,5.277999998725136,330.0294999990001,615.3672999971604,one shared preloaded model
syn-a32722b4cd47a410,lexical_only,275.436300000365,6.1557000008178875,337.3733999997057,618.9654000008886,one shared preloaded model
syn-1c4e873629998a82,lexical_only,270.2272000005905,8.588700000473182,392.6131999996869,671.4291000007506,one shared preloaded model
syn-c6e856fef964e025,lexical_only,272.3544000000402,8.855800000674208,346.2165000000823,627.4267000007967,one shared preloaded model
syn-ef0ea80df7ab7610,lexical_only,262.70020000083605,8.573399998567766,267.99250000112806,539.2661000005319,one shared preloaded model
syn-6690b5aeb7d47475,lexical_only,336.3183999990724,8.778100000199629,350.5771000000095,695.6735999992816,one shared preloaded model
syn-18b175a182f0df18,lexical_only,289.2403000005288,5.386099999668659,252.07640000007814,546.7028000002756,one shared preloaded model
syn-e0d51901d0f5b5b8,lexical_only,270.91289999953005,8.972399999038316,353.5202000002755,633.4054999988439,one shared preloaded model
syn-9b3792e76618737c,lexical_only,273.8995999989129,5.49709999904735,588.1429000000935,867.5395999980537,one shared preloaded model
syn-3748fc148bf2622f,lexical_only,267.5810000000638,5.095900000014808,323.4253999999055,596.1022999999841,one shared preloaded model
syn-e3d8db93f0637e3e,lexical_only,264.6284000002197,5.019700000048033,337.3812999998336,607.0294000001013,one shared preloaded model
syn-e572568df2ca85b2,lexical_only,268.6559000012494,5.428999998912332,326.8281999989995,600.9130999991612,one shared preloaded model
syn-7d14722ba7ae7c57,lexical_only,269.70190000065486,5.403200000728248,346.8485999983386,621.9536999997217,one shared preloaded model
syn-59e997a9e8f08cd5,lexical_only,270.3942999996798,4.982899999959045,318.08620000083465,593.4634000004735,one shared preloaded model
syn-f6825c0a97c0cc66,lexical_only,266.8020000000979,8.803200000329525,275.6454999998823,551.2507000003097,one shared preloaded model
syn-f665c1b45c973f9a,lexical_only,260.5053000006592,4.376400000182912,353.15909999917494,618.040800000017,one shared preloaded model
syn-2b9522be5ae9d37c,lexical_only,281.9197999997414,8.487999999488238,201.51020000048447,491.9179999997141,one shared preloaded model
syn-62ba612ec1f74341,lexical_only,261.5101000010327,5.674800000633695,358.3627999996679,625.5477000013343,one shared preloaded model
syn-757384914f863b7a,lexical_only,263.08830000016314,5.261600001176703,598.9511999996466,867.3011000009865,one shared preloaded model
syn-1ccc5b3e2f033f9d,lexical_only,275.1043000007485,4.580700000587967,357.86129999905825,637.5463000003947,one shared preloaded model
syn-1c58689a699e4311,lexical_only,268.015399999058,8.258099998784019,333.4435000015219,609.7169999993639,one shared preloaded model
syn-8f667a8e66f3dcb5,lexical_only,264.7088000012445,5.214700000578887,340.5965000001743,610.5200000019977,one shared preloaded model
syn-7ea4650ad829b7cd,lexical_only,280.93120000085037,8.369900000616326,368.8958000002458,658.1969000017125,one shared preloaded model
syn-5ebd58e83a08818d,lexical_only,271.7043000011472,8.302000000185217,368.8864999985526,648.892799999885,one shared preloaded model
syn-417c2a5538455deb,lexical_only,259.4045999994705,5.235699998593191,269.72530000057304,534.3655999986368,one shared preloaded model
syn-63ac5c001e3d1b00,lexical_only,266.42979999996896,4.826700000194251,366.35240000032354,637.6089000004868,one shared preloaded model
syn-db075c6f66e7f9fa,lexical_only,278.6701000004541,8.36189999972703,183.52989999948477,470.5618999996659,one shared preloaded model
syn-a4fb46626c3609cc,lexical_only,268.2005000006029,5.679400001099566,619.9639000005845,893.843800002287,one shared preloaded model
syn-c6ddfab25d63327d,lexical_only,265.44210000065505,5.215199998929165,268.40400000037334,539.0612999999576,one shared preloaded model
syn-ad99554ab0c1f129,lexical_only,273.63639999930456,5.5212000006577,327.11620000009134,606.2738000000536,one shared preloaded model
syn-f38282dbb7950711,lexical_only,263.8757999993686,7.463199999619974,325.34250000026077,596.6814999992494,one shared preloaded model
syn-21293ba09b4f5ebb,lexical_only,276.98489999966114,4.597799999828567,361.1674999992829,642.7501999987726,one shared preloaded model
syn-a8a4226f41b26323,lexical_only,264.8553000017273,5.062000000179978,330.572699998811,600.4900000007183,one shared preloaded model
syn-2192eae82c387036,lexical_only,267.7760999995371,8.918999999877997,340.07800000108546,616.7731000005006,one shared preloaded model
syn-fa65a3e9be183392,lexical_only,270.24189999974624,8.350399999471847,274.89800000148534,553.4903000007034,one shared preloaded model
syn-d0f5075dc2165ee1,lexical_only,262.70110000041313,7.888500000262866,365.03300000003946,635.6226000007155,one shared preloaded model
syn-f3f3c52fddbc055d,lexical_only,265.85479999994277,5.393299999923329,158.4235999998782,429.6716999997443,one shared preloaded model
syn-aa34237525453142,lexical_only,262.21239999904355,5.529300000489457,357.6223000000027,625.3639999995357,one shared preloaded model
syn-02dfcf7592547872,lexical_only,259.37619999967865,7.957300000271061,584.919799999625,852.2532999995747,one shared preloaded model
syn-761be3e3023ef503,lexical_only,265.30279999860795,5.160099999557133,333.4577999994508,603.9206999976159,one shared preloaded model
syn-64d7e0174f62e547,lalm,1034.4669999994949,11.237500000788714,375.95950000104494,1421.6640000013285,one shared preloaded model
syn-3893f5619d90e0bb,lalm,943.7244999990071,8.084899998721085,353.54929999994056,1305.3586999976687,one shared preloaded model
syn-f3716c206a95faac,lalm,902.9497000010451,10.084600000482169,362.48539999905915,1275.5197000005865,one shared preloaded model
syn-333a0eb60e11d2c7,lalm,918.4230999999272,9.169200000542332,375.03389999983483,1302.6262000003044,one shared preloaded model
