example_id,agent,bytes
76d63226,bounded_rag,1043575
86f00804,bounded_rag,1059014
8e9d538c,bounded_rag,1036803
311778f1,bounded_rag,1073424
c19f7a0b,bounded_rag,1021495
4100d0a0,bounded_rag,1078561
29f2956b,bounded_rag,1051488
1faac195,bounded_rag,1047234
faba32e5,bounded_rag,1014270
f4f1d8a4,bounded_rag,1068783
c14c00dd,bounded_rag,1054071
36580ce8,bounded_rag,1081980
3d86fd0a,bounded_rag,1087721
a82c026e,bounded_rag,1020579
0862e8bf_abs,bounded_rag,1099182
15745da0_abs,bounded_rag,1063680
bc8a6e93_abs,bounded_rag,1054562
19b5f2b3_abs,bounded_rag,1075591
29f2956b_abs,bounded_rag,1057723
f4f1d8a4_abs,bounded_rag,1078967
0a995998,bounded_rag,1040402
6d550036,bounded_rag,1070924
gpt4_59c863d7,bounded_rag,1028413
b5ef892d,bounded_rag,1090632
e831120c,bounded_rag,1028290
3a704032,bounded_rag,1031376
gpt4_d84a3211,bounded_rag,1056182
aae3761f,bounded_rag,1030179
gpt4_f2262a51,bounded_rag,1022232
dd2973ad,bounded_rag,1093078
c4a1ceb8,bounded_rag,1054571
gpt4_a56e767c,bounded_rag,1018560
6cb6f249,bounded_rag,1003500
46a3abf7,bounded_rag,1077068
36b9f61e,bounded_rag,1043892
28dc39ac,bounded_rag,932170
gpt4_2f8be40d,bounded_rag,1021633
2e6d26dc,bounded_rag,1050422
gpt4_15e38248,bounded_rag,1007451
88432d0a,bounded_rag,1036546
80ec1f4f,bounded_rag,1037443
d23cf73b,bounded_rag,1090503
gpt4_7fce9456,bounded_rag,1065349
d682f1a2,bounded_rag,1007443
7024f17c,bounded_rag,1038971
gpt4_5501fe77,bounded_rag,1090902
gpt4_2ba83207,bounded_rag,1074908
2318644b,bounded_rag,1065494
2ce6a0f2,bounded_rag,1036995
gpt4_d12ceb0e,bounded_rag,1032806
00ca467f,bounded_rag,1038390
b3c15d39,bounded_rag,1061309
gpt4_31ff4165,bounded_rag,979403
eeda8a6d,bounded_rag,1088440
2788b940,bounded_rag,1010138
60bf93ed,bounded_rag,1059812
9d25d4e0,bounded_rag,1051777
129d1232,bounded_rag,973258
60472f9c,bounded_rag,974905
gpt4_194be4b3,bounded_rag,1011598
a9f6b44c,bounded_rag,1026678
d851d5ba,bounded_rag,1073669
5a7937c8,bounded_rag,908043
gpt4_ab202e7f,bounded_rag,1040347
gpt4_e05b82a6,bounded_rag,1067031
gpt4_731e37d7,bounded_rag,1092829
edced276,bounded_rag,1038541
10d9b85a,bounded_rag,1006961
e3038f8c,bounded_rag,989448
2b8f3739,bounded_rag,1057756
1a8a66a6,bounded_rag,1071592
c2ac3c61,bounded_rag,1087881
bf659f65,bounded_rag,1097120
gpt4_372c3eed,bounded_rag,1007343
gpt4_2f91af09,bounded_rag,1090100
81507db6,bounded_rag,1093438
88432d0a_abs,bounded_rag,1071737
80ec1f4f_abs,bounded_rag,1026676
eeda8a6d_abs,bounded_rag,1027711
60bf93ed_abs,bounded_rag,1087466
edced276_abs,bounded_rag,1058336
gpt4_372c3eed_abs,bounded_rag,1041051
8a2466db,bounded_rag,1085613
06878be2,bounded_rag,957508
75832dbd,bounded_rag,1006423
0edc2aef,bounded_rag,1017260
35a27287,bounded_rag,1086253
32260d93,bounded_rag,1072970
195a1a1b,bounded_rag,1098974
afdc33df,bounded_rag,1065217
caf03d32,bounded_rag,1048406
54026fce,bounded_rag,1010405
06f04340,bounded_rag,1072768
6b7dfb22,bounded_rag,1017432
1a1907b4,bounded_rag,1090753
09d032c9,bounded_rag,1028911
38146c39,bounded_rag,1071707
d24813b1,bounded_rag,1039505
