horizon,agent,seeds,accuracy_mean,accuracy_std
100,lalm,3,0.7333333333333333,0.020816659994661344
100,lexical_only,3,0.7266666666666667,0.011547005383792526
100,pure_liquid,3,0.15,0.026457513110645915
100,rag,3,0.6633333333333333,0.011547005383792526
100,vanilla,3,0.0,0.0
100,window,3,0.18333333333333335,0.040414518843273795
500,lalm,3,0.6933333333333334,0.053333333333333344
500,lexical_only,3,0.6666666666666667,0.03527668414752787
500,pure_liquid,3,0.14222222222222222,0.0076980035891950115
500,rag,3,0.6311111111111112,0.05388602512436508
500,vanilla,3,0.0,0.0
500,window,3,0.0,0.0
1000,lalm,3,0.72,0.020000000000000018
1000,lexical_only,3,0.6733333333333333,0.04163331998932263
1000,pure_liquid,3,0.16,0.0
1000,rag,3,0.5866666666666667,0.06110100926607786
1000,vanilla,3,0.0,0.0
1000,window,3,0.0,0.0
5000,lalm,3,0.72,0.0
5000,lexical_only,3,0.66,0.020000000000000018
5000,pure_liquid,3,0.16,0.0
5000,rag,3,0.5866666666666667,0.05033222956847166
5000,vanilla,3,0.0,0.0
5000,window,3,0.0,0.0
