agent,question_type,examples,diagnostic_token_f1,diagnostic_exact_match
vanilla,knowledge-update,78,0.008040935672514621,0.0
vanilla,multi-session,133,0.013480851950531428,0.0
vanilla,single-session-assistant,56,0.009091237709658763,0.0
vanilla,single-session-preference,30,0.04506513478779998,0.0
vanilla,single-session-user,20,0.030238309872177148,0.0
vanilla,temporal-reasoning,133,0.025924401988700666,0.007518796992481203
window,knowledge-update,78,0.05532201427801383,0.0
window,multi-session,133,0.04698527273979256,0.0
window,single-session-assistant,56,0.07806457323146523,0.0
window,single-session-preference,30,0.17597440057379296,0.0
window,single-session-user,20,0.0933588049533052,0.0
window,temporal-reasoning,133,0.08610463964058507,0.0
rag,knowledge-update,78,0.32683261407957764,0.21794871794871795
rag,multi-session,133,0.07342956093228814,0.06015037593984962
rag,single-session-assistant,56,0.5542871095806744,0.4107142857142857
rag,single-session-preference,30,0.04611419078680036,0.0
rag,single-session-user,20,0.24452402415789143,0.2
rag,temporal-reasoning,133,0.11528233597421014,0.06015037593984962
pure_liquid,knowledge-update,78,0.05562678062678062,0.02564102564102564
pure_liquid,multi-session,133,0.09078947368421052,0.07518796992481203
pure_liquid,single-session-assistant,56,0.04944088281245513,0.0
pure_liquid,single-session-preference,30,0.006527327071576224,0.0
pure_liquid,single-session-user,20,0.0,0.0
pure_liquid,temporal-reasoning,133,0.12739442327887124,0.06766917293233082
lexical_only,knowledge-update,78,0.34109954373112267,0.21794871794871795
lexical_only,multi-session,133,0.09703309030366178,0.07518796992481203
lexical_only,single-session-assistant,56,0.4135836367579789,0.2857142857142857
lexical_only,single-session-preference,30,0.038460084076409225,0.0
lexical_only,single-session-user,20,0.3969049765388438,0.3
lexical_only,temporal-reasoning,133,0.08836313003049744,0.045112781954887216
lalm,knowledge-update,78,0.30961806224964117,0.19230769230769232
lalm,multi-session,133,0.07976074276815635,0.045112781954887216
lalm,single-session-assistant,56,0.4677276222051558,0.32142857142857145
lalm,single-session-preference,30,0.05514370839104781,0.0
lalm,single-session-user,20,0.5469049765388438,0.45
lalm,temporal-reasoning,133,0.13916374962810954,0.07518796992481203
