dataset,scope,metric,control,examples,lalm,control_score,delta_lalm_minus_control,ci95_low,ci95_high,paired_bootstrap_samples
synthetic,100,exact_value_accuracy,pure_liquid,300,0.7333333333333333,0.15,0.5833333333333334,0.5133333333333333,0.6533333333333333,10000
synthetic,100,exact_value_accuracy,lexical_only,300,0.7333333333333333,0.7266666666666667,0.006666666666666667,-0.02666666666666667,0.04,10000
synthetic,100,exact_value_accuracy,rag,300,0.7333333333333333,0.6633333333333333,0.07,0.02666666666666667,0.11333333333333331,10000
synthetic,500,exact_value_accuracy,pure_liquid,225,0.6933333333333334,0.14222222222222222,0.5511111111111111,0.4666666666666667,0.6355555555555555,10000
synthetic,500,exact_value_accuracy,lexical_only,225,0.6933333333333334,0.6666666666666666,0.02666666666666667,-0.0044444444444444444,0.06222222222222222,10000
synthetic,500,exact_value_accuracy,rag,225,0.6933333333333334,0.6311111111111111,0.06222222222222222,0.008888888888888889,0.11555555555555555,10000
synthetic,1000,exact_value_accuracy,pure_liquid,150,0.72,0.16,0.56,0.4533333333333333,0.6666666666666666,10000
synthetic,1000,exact_value_accuracy,lexical_only,150,0.72,0.6733333333333333,0.04666666666666667,0.006666666666666667,0.09333333333333334,10000
synthetic,1000,exact_value_accuracy,rag,150,0.72,0.5866666666666667,0.13333333333333333,0.06666666666666667,0.20666666666666667,10000
synthetic,5000,exact_value_accuracy,pure_liquid,150,0.72,0.16,0.56,0.4533333333333333,0.66,10000
synthetic,5000,exact_value_accuracy,lexical_only,150,0.72,0.66,0.06,0.02,0.10666666666666667,10000
synthetic,5000,exact_value_accuracy,rag,150,0.72,0.5866666666666667,0.13333333333333333,0.07333333333333333,0.19333333333333333,10000
synthetic,overall,exact_value_accuracy,pure_liquid,825,0.7175757575757575,0.15151515151515152,0.566060606060606,0.5236363636363637,0.6096969696969697,10000
synthetic,overall,exact_value_accuracy,lexical_only,825,0.7175757575757575,0.6884848484848485,0.02909090909090909,0.01090909090909091,0.048484848484848485,10000
synthetic,overall,exact_value_accuracy,rag,825,0.7175757575757575,0.6266666666666667,0.09090909090909091,0.06424242424242424,0.11878787878787879,10000
longmemeval_heldout_50_499,overall,diagnostic_exact_match,pure_liquid,450,0.1288888888888889,0.04666666666666667,0.08222222222222222,0.04666666666666667,0.11555555555555555,10000
longmemeval_heldout_50_499,overall,diagnostic_token_f1,pure_liquid,450,0.20456071993371647,0.08071523652138565,0.12384548341233081,0.08655931705402377,0.16098809675375592,10000
longmemeval_heldout_50_499,overall,diagnostic_exact_match,lexical_only,450,0.1288888888888889,0.12222222222222222,0.006666666666666667,-0.017777777777777778,0.03111111111111111,10000
longmemeval_heldout_50_499,overall,diagnostic_token_f1,lexical_only,450,0.20456071993371647,0.18559121650441493,0.018969503429301544,-0.0048420367963051035,0.04322508416614323,10000
longmemeval_heldout_50_499,overall,diagnostic_exact_match,rag,450,0.1288888888888889,0.13333333333333333,-0.0044444444444444444,-0.03111111111111111,0.022222222222222223,10000
longmemeval_heldout_50_499,overall,diagnostic_token_f1,rag,450,0.20456071993371647,0.19534580117789097,0.009214918755825502,-0.01895790175923277,0.037495831877293516,10000
