agent,question_type,accuracy
vanilla,boolean,0.0
vanilla,contradictory_update,0.0
vanilla,correction,0.0
vanilla,goal,0.0
vanilla,multi_fact,0.0
vanilla,paraphrase,0.0
vanilla,repeated_fact,0.0
vanilla,response_style,0.0
vanilla,stable_fact,0.0
vanilla,temporal,0.0
window,boolean,0.0
window,contradictory_update,0.21428571428571427
window,correction,0.25
window,goal,0.0
window,multi_fact,0.0
window,paraphrase,0.0
window,repeated_fact,0.25
window,response_style,0.07407407407407407
window,stable_fact,0.0
window,temporal,0.0
rag,boolean,0.0
rag,contradictory_update,0.42857142857142855
rag,correction,0.42857142857142855
rag,goal,1.0
rag,multi_fact,0.0
rag,paraphrase,0.6296296296296297
rag,repeated_fact,1.0
rag,response_style,0.7037037037037037
rag,stable_fact,1.0
rag,temporal,0.8518518518518519
pure_liquid,boolean,0.6071428571428571
pure_liquid,contradictory_update,0.0
pure_liquid,correction,0.0
pure_liquid,goal,0.0
pure_liquid,multi_fact,0.0
pure_liquid,paraphrase,0.0
pure_liquid,repeated_fact,0.0
pure_liquid,response_style,1.0
pure_liquid,stable_fact,0.0
pure_liquid,temporal,0.0
lexical_only,boolean,0.0
lexical_only,contradictory_update,0.6071428571428571
lexical_only,correction,0.6785714285714286
lexical_only,goal,1.0
lexical_only,multi_fact,0.0
lexical_only,paraphrase,0.7777777777777778
lexical_only,repeated_fact,1.0
lexical_only,response_style,0.7777777777777778
lexical_only,stable_fact,1.0
lexical_only,temporal,0.8888888888888888
lalm,boolean,0.0
lalm,contradictory_update,0.7142857142857143
lalm,correction,0.7857142857142857
lalm,goal,1.0
lalm,multi_fact,0.0
lalm,paraphrase,1.0
lalm,repeated_fact,1.0
lalm,response_style,0.7777777777777778
lalm,stable_fact,1.0
lalm,temporal,0.7777777777777778
